Dataset2 x;Dataset2 y
3,368787033813E-2;9,938475976044E-1
3,301188111405E-1;9,825867501853E-1
6,687512400832E-1;9,713288802510E-1
8,813461622829E-1;9,537944724110E-1
1,135575614945E0;9,425306475071E-1
1,346078793923E0;9,325051839007E-1
1,346791945692E0;9,246214315696E-1
1,419826779485E0;9,174594911557E-1
1,589571461220E0;9,081542460160E-1
1,735187304954E0;8,988472984897E-1
1,880803148688E0;8,895403509635E-1
2,026548656379E0;8,787999939225E-1
2,196682329988E0;8,651945202386E-1
2,414944015641E0;8,530258608427E-1
2,585077689250E0;8,394203871588E-1
2,706953686857E0;8,258115087017E-1
2,876763200571E0;8,157895588047E-1
2,998379870261E0;8,050474993771E-1
3,120126203910E0;7,928720304347E-1
3,241289049747E0;7,871469043087E-1
3,242067033495E0;7,785464472203E-1
3,291037861267E0;7,706660996624E-1
3,388655356914E0;7,584889283334E-1
3,341759152471E0;7,434347236554E-1
3,607889522252E0;7,355696975769E-1
3,753635029944E0;7,248293405359E-1
3,754477845671E0;7,155121786901E-1
4,068995555412E0;7,062171478700E-1
4,069838371139E0;6,968999860242E-1
4,167326202829E0;6,861562242100E-1
4,216491526537E0;6,761257623800E-1
4,385976880356E0;6,696873362698E-1
4,483529544024E0;6,582268696982E-1
4,532435539816E0;6,510632268977E-1
4,653728049612E0;6,439046912570E-1
4,751604873175E0;6,288607008985E-1
4,728383682880E0;6,188251319087E-1
4,946061880722E0;6,131068153291E-1
5,068067542287E0;5,980645273573E-1
5,068975189993E0;5,880306607541E-1
5,286199563982E0;5,873292774761E-1
5,383428067756E0;5,794523346914E-1
5,552978253553E0;5,722972038238E-1
5,577755411345E0;5,651318586367E-1
5,626466911200E0;5,601183301083E-1
5,747953916932E0;5,508096801955E-1
5,845052756748E0;5,443661469255E-1
5,917893094604E0;5,393543207837E-1
6,136414108173E0;5,243188423583E-1
6,137062427963E0;5,171517947845E-1
6,185838759797E0;5,114215614988E-1
6,404165277430E0;4,985361973454E-1
6,404748765240E0;4,920858545291E-1
6,742552497256E0;4,921096879414E-1
6,984813356953E0;4,813761404468E-1
6,985072684869E0;4,785093214173E-1
7,154039382855E0;4,778045333662E-1
7,299395898673E0;4,713644048694E-1
7,348820550297E0;4,584671240099E-1
7,349404038108E0;4,520167811935E-1
7,469983396135E0;4,527419978839E-1
7,687142938145E0;4,527573193633E-1
7,808046456067E0;4,498990122668E-1
8,218625693960E0;4,456277242947E-1
8,219014685834E0;4,413274957504E-1
8,315789365754E0;4,384674862673E-1
8,412823373591E0;4,327406577548E-1
8,558504049304E0;4,227170054711E-1
8,558893041178E0;4,184167769269E-1
8,631603715076E0;4,148383602998E-1
8,656380872867E0;4,076730151127E-1
9,067413934613E0;3,983847938390E-1
9,067932590445E0;3,926511557800E-1
9,068386414298E0;3,876342224784E-1
9,068775406172E0;3,833339939342E-1
8,898252740689E0;4,012396961623E-1
9,214520913864E0;3,725936368932E-1
9,335489263764E0;3,690186250393E-1
9,408329601621E0;3,640067988975E-1
9,408588929537E0;3,611399798680E-1
9,601619633546E0;3,611535989608E-1
9,795363489324E0;3,532834657225E-1
9,796076641093E0;3,453997133914E-1
9,796724960883E0;3,382326658177E-1
9,990663312598E0;3,282124183073E-1
1,032905053242E1;3,217859089033E-1
1,037821585613E1;3,117554470733E-1
1,049918420603E1;3,081804352194E-1
1,064434622591E1;3,038904209947E-1
1,066892888777E1;2,988751900797E-1
1,081519305129E1;2,824011949797E-1
1,081577653910E1;2,759508521634E-1
1,112945143312E1;2,759729831892E-1
1,110616541084E1;2,666541189567E-1
1,151622599290E1;2,681164690436E-1
1,180577204892E1;2,681368976828E-1
1,180635553673E1;2,616865548664E-1
1,221719410254E1;2,545484478649E-1
1,250680499053E1;2,538521717467E-1
1,250725881438E1;2,488352384451E-1
1,306235175237E1;2,474409838220E-1
1,344847799236E1;2,467515172502E-1
1,344938564007E1;2,367176506470E-1
1,349835646784E1;2,288373030891E-1
1,386028903786E1;2,288628388881E-1
1,402938539980E1;2,267246413221E-1
1,415041858168E1;2,224329247109E-1
1,456086815562E1;2,195950462536E-1
1,458571014539E1;2,117129963091E-1
1,485112736340E1;2,117317225616E-1
1,526196592921E1;2,045936155601E-1
1,545499663322E1;2,046072346528E-1
1,545577461697E1;1,960067775644E-1
1,579403217284E1;1,910136776751E-1
1,605944939085E1;1,910324039277E-1
1,642138196087E1;1,910579397267E-1
1,671151150469E1;1,846280255495E-1
1,688047820268E1;1,839232374983E-1
1,704976906056E1;1,796349256602E-1
1,707435172241E1;1,746196947452E-1
1,731602909430E1;1,703364900670E-1
1,755757680223E1;1,674866949034E-1
1,784725252220E1;1,660737140279E-1
1,811305873208E1;1,617922117362E-1
1,823415674594E1;1,567837903676E-1
1,871673350596E1;1,568178380995E-1
1,973014470201E1;1,568893383366E-1
1,975518118772E1;1,468571741200E-1
2,026188678574E1;1,468929242385E-1
2,069620586976E1;1,469235671973E-1
2,166122972585E1;1,484250721759E-1
2,171013572164E1;1,412614293754E-1
2,219271248167E1;1,412954771073E-1
2,291670728566E1;1,399131391905E-1
2,376128144768E1;1,392560179640E-1
2,429211588370E1;1,392934704691E-1
2,475056380572E1;1,393258158145E-1
2,475153628541E1;1,285752444539E-1
2,508934001742E1;1,285990778663E-1
2,508998833721E1;1,214320302925E-1
2,542759757329E1;1,236059779770E-1
2,545263405900E1;1,135738137604E-1
2,559747191898E1;1,128673233226E-1
2,615243519301E1;1,129064782144E-1
2,625005268866E1;1,007293068854E-1
2,625057134449E1;9,499566882644E-2
2,666076159051E1;9,502460939859E-2
2,670966758630E1;8,786096659807E-2
2,687863428429E1;8,715617854687E-2
2,716818034030E1;8,717660718604E-2
2,762675792628E1;8,577554301664E-2
2,810933468630E1;8,580959074858E-2
2,864023395431E1;8,513033849634E-2
2,866540010397E1;7,366476476499E-2
2,924442738402E1;7,442232680069E-2
2,982351949605E1;7,446318407902E-2
3,076441451413E1;7,596298667105E-2
3,189853473217E1;7,532629408374E-2
3,438380504628E1;7,550163990324E-2
3,764126300841E1;7,501475733648E-2
4,208090436864E1;7,604470122771E-2
4,208323831989E1;5,024332996232E-2
4,246936455988E1;4,955386339050E-2
4,319322969992E1;4,960493498841E-2
4,384464349397E1;5,036760418391E-2
4,471315199805E1;5,186229961615E-2
