Dataset 6 x;Dataset 6 y
"-5,126505212170E-2";9,999211893191E-1
1,597423885798E-1;9,999360767430E-1
5,403495225917E-1;9,911882264740E-1
7,523774871134E-1;9,799214240854E-1
1,092484006019E0;9,523677799775E-1
1,430549477283E0;9,473775154946E-1
1,600262562129E0;9,373612567114E-1
1,812630701258E0;9,223338910520E-1
1,855966104754E0;9,098016576339E-1
1,983817876066E0;8,960218580952E-1
2,111556255843E0;8,834955796467E-1
2,280815774547E0;8,784934052247E-1
2,323130654222E0;8,772428616192E-1
2,323130654222E0;8,772428616192E-1
2,450642250928E0;8,672236253513E-1
2,620468727309E0;8,559538454779E-1
2,706005618946E0;8,434245895447E-1
2,918033583468E0;8,321577871560E-1
2,918600541146E0;8,258901817046E-1
3,003570475104E0;8,196285312228E-1
3,130968680274E0;8,108628160452E-1
3,216052005768E0;8,033476444730E-1
3,428079970290E0;7,920808420844E-1
3,513616861926E0;7,795515861512E-1
3,935858526401E0;7,770743188184E-1
3,936538875614E0;7,695531922767E-1
4,274944521486E0;7,608023645229E-1
4,570581721539E0;7,583161647358E-1
4,824924565737E0;7,457988187417E-1
5,037065921794E0;7,332784952628E-1
5,080401325290E0;7,207462618447E-1
5,292429289812E0;7,094794594561E-1
5,335537910237E0;6,994542682186E-1
5,378646530662E0;6,894290769812E-1
5,506044735832E0;6,806633618036E-1
5,633102766395E0;6,756582098968E-1
5,634009898679E0;6,656300411745E-1
5,887899176735E0;6,581267795415E-1
6,057385478510E0;6,506175629389E-1
6,269300051496E0;6,406042816406E-1
6,481214624482E0;6,305910003422E-1
6,608612829652E0;6,218252851646E-1
6,946224734774E0;6,218491050428E-1
7,073622939944E0;6,130833898652E-1
7,327625609535E0;6,043266071419E-1
7,497338694381E0;5,943103483588E-1
7,666711604620E0;5,880546528465E-1
7,962915762351E0;5,793008476079E-1
8,217145215014E0;5,680370227041E-1
8,302115148972E0;5,617753722222E-1
8,429399962606E0;5,542631781349E-1
8,641201144057E0;5,455034179268E-1
8,894977030577E0;5,392536773841E-1
9,064690115423E0;5,292374186009E-1
9,191634754450E0;5,254857877844E-1
9,276604688409E0;5,192241373026E-1
9,488179086788E0;5,129714192750E-1
9,615350508887E0;5,067127462780E-1
9,911101100476E0;5,029730254006E-1
1,016476359546E1;4,979768059481E-1
1,033402311416E1;4,929746315261E-1
1,058779900068E1;4,867248909833E-1
1,075739869399E1;4,779621532905E-1
1,096908648391E1;4,704559141727E-1
1,122286237043E1;4,642061736299E-1
1,160346950444E1;4,554583233610E-1
1,185713199942E1;4,504621039085E-1
1,202627812659E1;4,467134505768E-1
1,219553764530E1;4,417112761548E-1
1,236491055554E1;4,354555806425E-1
1,261857305052E1;4,304593611900E-1
1,278783256922E1;4,254571867680E-1
1,304138167267E1;4,217144884058E-1
1,333690548119E1;4,204818097089E-1
1,359022780157E1;4,192461535273E-1
1,388563821855E1;4,192669959207E-1
1,422325012367E1;4,192908157989E-1
1,439205607623E1;4,193027257380E-1
1,460397064922E1;4,092894444397E-1
1,477357034253E1;4,005267067468E-1
1,502768640366E1;3,905164029332E-1
1,502848014440E1;3,817417553013E-1
1,511379025297E1;3,717195415486E-1
1,532491108521E1;3,704809078822E-1
1,562066167680E1;3,667411870048E-1
1,583166911750E1;3,667560744287E-1
1,604358369048E1;3,567427931303E-1
1,621341016687E1;3,454730132569E-1
1,667762653641E1;3,455057655894E-1
1,718404439409E1;3,455414954067E-1
1,781752028234E1;3,405720733172E-1
1,756397117889E1;3,443147716794E-1
1,794525866212E1;3,280457948688E-1
1,794571222826E1;3,230317105077E-1
1,819892115710E1;3,230495754163E-1
1,849433157408E1;3,230704178097E-1
1,849501192330E1;3,155492912681E-1
1,870635953860E1;3,118036154211E-1
1,883353096070E1;3,055449424240E-1
1,904476518448E1;3,030527876674E-1
1,917136964890E1;3,030617201217E-1
1,917193660657E1;2,967941146703E-1
1,934074255914E1;2,968060246094E-1
1,959395148798E1;2,968238895180E-1
1,988936190496E1;2,968447319115E-1
1,988970207957E1;2,930841686406E-1
2,010093630334E1;2,905920138839E-1
2,039657350339E1;2,881058140968E-1
2,077638689666E1;2,881326114598E-1
2,119840177806E1;2,881623863075E-1
2,140940921876E1;2,881772737314E-1
2,153601368318E1;2,881862061857E-1
2,153748777314E1;2,718904320121E-1
2,153805473082E1;2,656228265607E-1
2,162279788171E1;2,618682182594E-1
2,204503954618E1;2,593909509266E-1
2,255168418694E1;2,569196385634E-1
2,280534668192E1;2,519234191109E-1
2,310087049044E1;2,506907404140E-1
2,318538685826E1;2,494431742933E-1
2,339684786510E1;2,444439773561E-1
2,352390589566E1;2,394388254493E-1
2,369271184822E1;2,394507353884E-1
2,415726839237E1;2,357229244501E-1
2,441047732122E1;2,357407893587E-1
2,466459338234E1;2,257304855451E-1
2,470724843663E1;2,207193786688E-1
2,496045736547E1;2,207372435774E-1
2,542478712655E1;2,195164748197E-1
2,643762284191E1;2,195879344543E-1
2,749266004542E1;2,196623715737E-1
2,829460171162E1;2,184654226941E-1
2,918094635410E1;2,172744287841E-1
2,989837165249E1;2,173250460253E-1
3,070019992716E1;2,173816182360E-1
3,099617730182E1;2,111348551780E-1
3,108126062731E1;2,036196836059E-1
3,171428294941E1;2,036643458775E-1
3,276943354446E1;2,024852619066E-1
3,407756628527E1;2,038310850249E-1
3,538581241762E1;2,039233870530E-1
4,517667105771E1;2,033606424305E-1
5,116928237363E1;2,037834452685E-1
5,509390737915E1;2,053138724429E-1
